state,x,y
Tamil Nadu,-88.0,-316.0
Kerala,-156.0,-325.0
Karnataka,-176.0,-222.0
Andhra Pradesh,-81.0,-220.0
Goa,-218.0,-198.0
Telangana,-80.0,-130.0
Maharashtra,-176.0,-91.0
Chattisgarh,-18.0,-46.0
Odisha,75.0,-61.0
Gujarat,-270.0,14.0
Madhya Pradesh,-100.0,12.0
Jharkhand,77.0,27.0
West Bengal,147.0,11.0
Rajasthan,-231.0,117.0
Haryana,-158.0,187.0
Uttar Pradesh,-55.0,135.0
Bihar,92.0,96.0
Sikkim,160.0,141.0
Assam,271.0,107.0
Meghalaya,232.0,81.0
Tripura,243.0,35.0
Mizoram,277.0,21.0
Manipur,308.0,74.0
Nagaland,321.0,106.0
Arunachal Pradesh,314.0,159.0
Uttarkand,-80.0,227.0
Punjab,-179.0,234.0
Himachal Pradesh,-133.0,273.0
Jammu & Kashmir,-162.0,339.0

